names, prices, delivery_price,  links
HyperX Cloud II Wireless Over Ear Gaming Headset PC/PS4/Switch - Red,$112.62,$37.54,https://www.ebay.ca/itm/325101003096?epid=6043948746&amp;hash=item4bb187a158:g:NDgAAOSwk99g33AS
HyperX Cloud II Wired Gaming Headset 7.1 Surround PC PS4 PS5 Xbox One Series X|S,$62.55,$102.30,https://www.ebay.ca/itm/275169192283?hash=item40115ca95b:g:krwAAOSwaORiC-CA
HyperX - Cloud II Gaming Headset - Red/Black,$62.57,$197.51,https://www.ebay.ca/itm/194938246479?epid=9031974859&amp;hash=item2d6339954f:g:JvQAAOSwqJ5iPlfX
Kingston KHX-HSCP-GM HyperX Cloud II Gun Gaming Headset *READ DESCRIPTION*,$43.78,$43.17,https://www.ebay.ca/itm/265540479645?epid=21030523871&amp;hash=item3dd3722a9d:g:-SYAAOSwhdNiAtpL
GENUINE Kingston HyperX Cloud II 2 Gaming Headset Gun Metal PC Mac PS4 PS5 XBox,$186.78,$43.17,https://www.ebay.ca/itm/271335847504?epid=20009471573&amp;hash=item3f2ce07650:g:le0AAOSw5cNYJob6
HyperX Cloud II Pro Wired Gaming Headset - Red SKU#1301119,$98.88,$48.80,#srp-ds6-icon-magnify
GENUINE Kingston HyperX Cloud II 2 Gaming Headset Black Red PC Mac PS4 XBox,$69.84,$28.78,https://www.ebay.ca/itm/233776323030?epid=9031974859&amp;hash=item366e2799d6:g:GIgAAOSwFvVfqsv7
HyperX Cloud II Gaming Headset 7.1 Virtual PC/PS4/XBOX KHX-HSCP-GM GUNMETAL,$69.85,$74.77,https://www.ebay.ca/itm/362701057404?epid=9031974859&amp;hash=item5472aaed7c:g:VSUAAOSwAAJdLGgG
USED Limited Edition HyperX Cloud II Pink Gaming Headset (no Microphone) Works,$106.36,$197.51,https://www.ebay.ca/itm/362701113824?epid=1237450840&amp;hash=item5472abc9e0:g:YCcAAOSwAi1dLIGq
HyperX Cloud II Gaming Headset Gun metallic color 7.1 Surround Sound KHX-HSCP-GM,$143.91,$6.26,https://www.ebay.ca/itm/403554747492?epid=9031974859&amp;hash=item5df5bcc464:g:AqcAAOSw72JhJrzH
HyperX Cloud II Gaming Headset Red/Black 7.1 Surround Sound (KHX-HSCP-RD) JAPAN,$249.02,$37.76,https://www.ebay.ca/itm/193751535619?hash=item2d1c7dd003:g:6OEAAOSwjMFfsScg
HyperX Cloud II Wired Over Ear Gaming Headset - Red,$249.02,$50.05,https://www.ebay.ca/itm/193751525231?hash=item2d1c7da76f:g:gg8AAOSwfVhfsSRm
Kingston Gaming Headset HyperX Cloud II KHX-HSCP-RD Black/Red from Japan New,$56.30,$100.91,https://www.ebay.ca/itm/125200494103?epid=6043948746&amp;hash=item1d2687ee17:g:m-IAAOSwHzRiBIWj
HyperX KHX-HSCP-RD Cloud II Gaming Headset - Black/Grey (IL/RT6-15649-KHX-HSC...,$115.12,$16.27,https://www.ebay.ca/itm/302923410355?epid=1442236095&amp;hash=item4687a46bb3:g:QmQAAOSwImRYX3jz
HyperX Cloud II Pro Wired Gaming Headset - Red SKU#1296890,$61.30,$1.66,https://www.ebay.ca/itm/234418406473?epid=9031974859&amp;_trkparms=ispr%3D1&amp;hash=item36946d0449:g:T4wAAOSwPPFiCFNC&amp;amdata=enc%3AAQAGAAAA4LeDcbYiB%2Bzeb0rg59CEwWKNnz7ClIH7T1pfQO%2FghQxJCT1vZuIcWmON9sQZgnHjTB%2BmBhRr2WZMk%2B1fFtFGK%2BZZCy9CaJnt%2FJC%2F%2FiwDYzuieIhJ8%2BmoW110E%2FwWtxzfBq1jkmECXy2k4tR7RdEoIabGRPbA1%2FF403PHQcHaXaod%2Ff6XtObygL3If0i3mxQNse2bgyMxjImLAnZ8QrROpaXUOy20OrgHNW9hHTSGzuAJ5rV6zGVShuqmEZraoDhhRUaudrwPBsOCc3OpY93yia0OyEnHzGUFLHq43fJPS0dp%7Ctkp%3ABFBMhsCUuvlf
